f1,f2,card_name,fight_date,fights_location,fight_url
Lerone Murphy,Edson Barboza,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/17aa636aa98678d3
Khaos Williams,Carlston Harris,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/85ddb65429a9d517
Themba Gorimbo,Ramiz Brahimaj,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/20220ace492af368
Adrian Yanez,Vinicius Salvador,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/5dcade01fc840da6
Angela Hill,Luana Pinheiro,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/2a43df4cc047a28b
Tom Nolan,Victor Martinez,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/b5df5a0a0bda9256
Oumar Sy,Tuco Tokkos,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/68ee31dd0853cdc9
Melissa Gatto,Tamires Vidal,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/3aea9c60d25fc93b
Abus Magomedov,Warlley Alves,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/fc2bdd67c1a056a4
Ariane Carnelossi,Piera Rodriguez,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/28c6de749d0d0e9d
Alatengheili,Kleydson Rodrigues,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/63605e9f3e71d738
Vanessa Demopoulos,Emily Ducote,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/069df63733dcf697
Derrick Lewis,Rodrigo Nascimento,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/6f0f84075fa1a4b0
Joaquin Buckley,Nursulton Ruziboev,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/b78a222fb448aed4
Carlos Ulberg,Alonzo Menifield,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/a049c12f43914449
Diego Ferreira,Mateusz Rebecki,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/6c67aa7063717a0c
Sean Woodson,Alex Caceres,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/8aa07b6cc40f0cb2
Waldo Cortes-Acosta,Robelis Despaigne,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/e98eb6de29c62c9c
Chase Hooper,Viacheslav Borshchev,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/420a5e3b4010ebef
Esteban Ribovics,Terrance McKinney,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/8d9bcbb48888a5a3
Tabatha Ricci,Tecia Pennington,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/13d8d5cd83e5b57e
Trey Waters,Billy Ray Goff,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/ec5d705232983b87
Charles Johnson,Jake Hadley,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/4b45f190122a1ce1
Veronica Hardy,JJ Aldrich,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/fight-details/ccf3b6eda4c2a564
Alexandre Pantoja,Steve Erceg,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/3f419fce8ba8aa0e
Jose Aldo,Jonathan Martinez,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/b3d88eaea611a4a8
Anthony Smith,Vitor Petrino,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/a8718a3419a11e15
Michel Pereira,Ihor Potieria,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/3e74caa9fff4a5eb
Caio Borralho,Paul Craig,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/2db0998b24c11ea0
Joanderson Brito,Jack Shore,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/c456b1950208e0b2
Iasmin Lucindo,Karolina Kowalkiewicz,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/c84a29f426f1aab7
Myktybek Orolbai,Elves Brener,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/8a121f9c48f3773c
Drakkar Klose,Joaquim Silva,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/2faf5b8d708f8e94
Mauricio Ruffy,Jamie Mullarkey,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/b9de363e6b406853
Dione Barbosa,Ernesta Kareckaite,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/4661e9ca9354021e
Ismael Bonfim,Vinc Pichel,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/89db7aca37b87711
Alessandro Costa,Kevin Borjas,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/fight-details/fe0f1b418e6d3ecb
Alex Perez,Matheus Nicolau,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/a0cae57eae875820
Bogdan Guskov,Ryan Spann,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/f41e83de703acf85
Karine Silva,Ariane da Silva,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/45de6d0b9cf5451c
Jhonata Diniz,Austen Lane,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/dae70ccdf9e7475e
David Onama,Jonathan Pearce,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/7ca5604d99220e88
Uros Medic,Tim Means,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/6ea77cb62aa2f276
Victor Henry,Rani Yahya,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/55231cc4112334b4
Austin Hubbard,Michal Figlak,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/681cd3cc6299d652
Don'Tale Mayes,Caio Machado,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/417049c7a3d65ccc
Ketlen Souza,Marnic Mann,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/4915c8a588513c22
Chris Padilla,James Llontop,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/0a85b3ad328205ff
Ivana Petrovic,Liang Na,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/1631f70535ae5dcc
Maheshate,Gabriel Benitez,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/0976778a6e6cf8a8
Alex Pereira,Jamahal Hill,UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/e4931f3ab3bf4141
Zhang Weili,Yan Xiaonan,UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/66eddbe35056c06d
Max Holloway,Justin Gaethje,UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/cf5e8f98159c3971
Arman Tsarukyan,Charles Oliveira,UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/fight-details/01f7c28804746979
