event_name,date,location,url
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",http://www.ufcstats.com/event-details/5dfe71ade71f3a4b
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",http://www.ufcstats.com/event-details/981ab7a0576f76a0
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a16ce18149021139
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/6750e338922a099d
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/899eaba48fa864a6
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",http://www.ufcstats.com/event-details/dba230fe33011201
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/79ff6545b0abc685
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c398235fcaf8d71d
UFC 299: O'Malley vs. Vera 2,"March 09, 2024","Miami, Florida, USA",http://www.ufcstats.com/event-details/a9df5ae20a97b090
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e4a9dbade7c7e1a7
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024","Mexico City, Distrito Federal, Mexico",http://www.ufcstats.com/event-details/902ab9197b83d0db
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",http://www.ufcstats.com/event-details/dab0e6cb8c932162
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/eaea0fc7b76525a8
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/cce79e827569f26e
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC Fight Night: Ankalaev vs. Walker 2,"January 13, 2024","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/010986ee359fb863
UFC 296: Edwards vs. Covington,"December 16, 2023","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC Fight Night: Song vs. Gutierrez,"December 09, 2023","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3feed7d02711d8b7
