end_time,f1,f2,fight_date,method,referee,round,time_format,weightclass,winner,f1_body,f1_clinch,f1_control,f1_distance,f1_dob,f1_ground,f1_head,f1_height,f1_kd,f1_leg,f1_reach,f1_record,f1_rev,f1_sapm,f1_sig_str,f1_sig_str_%,f1_slpm,f1_stance,f1_str__acc_,f1_str__def,f1_sub__avg_,f1_sub_att,f1_td,f1_td_%,f1_td_acc_,f1_td_avg_,f1_td_def_,f1_total_str,f1_weight,f2_body,f2_clinch,f2_control,f2_distance,f2_dob,f2_ground,f2_head,f2_height,f2_kd,f2_leg,f2_reach,f2_record,f2_rev,f2_sapm,f2_sig_str,f2_sig_str_%,f2_slpm,f2_stance,f2_str__acc_,f2_str__def,f2_sub__avg_,f2_sub_att,f2_td,f2_td_%,f2_td_acc_,f2_td_avg_,f2_td_def_,f2_total_str,f2_weight,gender,year
5:00,Lerone Murphy,Edson Barboza,2024-05-18,Decision - Unanimous,Herb Dean,5,5,featherweight,f1,27 of 34,13 of 17,5:19,205 of 344,"Jul 22, 1991",2 of 3,172 of 308,175.26,0,21 of 22,185.42,Record: 14-0-1,0,2.6,220 of 364,60%,5.01,Orthodox,54%,60%,0.6,0,4 of 6,66%,52%,1.59,46%,259 of 410,65.77,15 of 21,2 of 3,5:19,77 of 239,"Jan 21, 1986",0 of 0,38 of 189,180.34,0,26 of 32,190.5,Record: 24-12-0,0,4.65,79 of 242,32%,4.11,Orthodox,44%,56%,0.1,0,0 of 0,0,50%,0.45,72%,79 of 242,65.77,M,2024
1:30,Khaos Williams,Carlston Harris,2024-05-18,KO/TKO,Dan Miragliotta,1,3,welterweight,f1,2 of 4,0 of 0,0:01,11 of 19,"Mar 30, 1994",1 of 1,5 of 9,182.88,1,5 of 7,195.58,Record: 15-3-0,0,5.42,12 of 20,60%,5.81,Orthodox,39%,42%,0.0,0,0 of 0,0,0%,0.0,80%,12 of 20,77.11,1 of 2,0 of 0,0:01,14 of 30,"Jul 09, 1987",0 of 0,10 of 25,182.88,0,3 of 3,193.04,Record: 19-6-0,0,2.66,14 of 30,46%,3.18,Orthodox,49%,52%,0.8,0,0 of 0,0,29%,1.97,55%,14 of 30,77.11,M,2024
5:00,Themba Gorimbo,Ramiz Brahimaj,2024-05-18,Decision - Unanimous,Mark Smith,3,3,welterweight,f1,31 of 35,35 of 38,10:13,6 of 10,"Jan 23, 1991",2 of 4,9 of 13,185.42,0,3 of 4,195.58,Record: 13-4-0,1,1.08,43 of 52,82%,2.53,Orthodox,69%,46%,0.0,0,5 of 6,83%,58%,4.04,78%,110 of 134,77.11,3 of 4,3 of 4,10:13,0 of 2,"Nov 17, 1992",0 of 0,0 of 2,177.8,0,0 of 0,182.88,Record: 10-5-0,0,3.69,3 of 6,50%,1.74,Orthodox,41%,45%,1.6,0,1 of 8,12%,35%,1.61,44%,15 of 20,77.11,M,2024
2:47,Adrian Yanez,Vinicius Salvador,2024-05-18,KO/TKO,Chris Tognoni,1,3,bantamweight,f1,1 of 2,0 of 0,0:17,15 of 28,"Nov 29, 1993",21 of 28,27 of 45,170.18,1,8 of 9,177.8,Record: 17-5-0,0,5.75,36 of 56,64%,6.51,Orthodox,41%,57%,0.0,0,0 of 0,0,0%,0.0,100%,36 of 58,61.23,6 of 6,0 of 0,0:17,17 of 34,"Jul 24, 1996",0 of 0,6 of 20,170.18,0,5 of 8,177.8,Record: 14-7-0,0,6.5,17 of 34,50%,5.48,Southpaw,43%,48%,0.0,0,0 of 0,0,11%,0.36,86%,17 of 34,61.23,M,2024
4:12,Angela Hill,Luana Pinheiro,2024-05-18,Submission,Herb Dean,2,3,strawweight,f1,9 of 15,3 of 3,3:06,21 of 71,"Jan 12, 1985",4 of 5,19 of 64,160.02,0,0 of 0,162.56,Record: 17-13-0,1,4.86,28 of 79,35%,5.38,Orthodox,49%,61%,0.1,1,2 of 6,33%,33%,0.8,76%,39 of 91,52.16,3 of 6,2 of 6,3:06,15 of 54,"Nov 18, 1992",0 of 0,11 of 51,157.48,0,3 of 3,157.48,Record: 11-3-0,0,4.17,17 of 60,28%,3.57,Orthodox,40%,63%,0.2,0,1 of 7,14%,33%,2.24,66%,25 of 77,52.16,M,2024
3:50,Tom Nolan,Victor Martinez,2024-05-18,KO/TKO,Mark Smith,1,3,lightweight,f1,13 of 20,0 of 1,0:02,29 of 58,"Mar 08, 2000",4 of 5,14 of 38,190.5,0,6 of 6,185.42,Record: 7-1-0,0,6.54,33 of 64,51%,9.26,Southpaw,53%,41%,0.0,0,0 of 0,0,0%,0.0,100%,41 of 72,70.31,7 of 9,1 of 1,0:02,16 of 23,"Jul 17, 1991",1 of 2,6 of 12,172.72,1,5 of 5,177.8,Record: 13-6-0,0,7.66,18 of 26,69%,7.94,Orthodox,51%,53%,0.0,0,0 of 1,0%,33%,0.7,80%,20 of 29,70.31,M,2024
3:43,Oumar Sy,Tuco Tokkos,2024-05-18,Submission,Dan Miragliotta,1,3,light heavyweight,f1,0 of 0,0 of 0,3:30,0 of 2,"Nov 21, 1995",0 of 0,0 of 2,193.04,0,0 of 0,210.82,Record: 10-0-0,0,0.81,0 of 2,0%,0.0,Orthodox,0%,25%,4.0,1,2 of 3,66%,66%,8.07,0%,1 of 8,92.99,0 of 1,0 of 0,3:30,3 of 4,"Jun 30, 1990",0 of 0,1 of 1,193.04,0,2 of 2,193.04,Record: 10-4-0,0,4.57,3 of 4,75%,3.26,Orthodox,43%,45%,0.0,0,0 of 0,0,100%,1.96,33%,4 of 5,92.99,M,2024
0:37,Melissa Gatto,Tamires Vidal,2024-05-18,KO/TKO,Chris Tognoni,3,3,bantamweight,f1,16 of 20,1 of 5,6:58,22 of 40,"May 02, 1996",7 of 7,13 of 30,165.1,0,1 of 2,175.26,Record: 9-2-2,0,2.84,30 of 52,57%,3.78,Orthodox,49%,54%,0.5,1,2 of 2,100%,28%,1.47,63%,120 of 163,61.23,2 of 2,1 of 1,6:58,14 of 28,"Jul 27, 1998",0 of 0,7 of 21,167.64,0,6 of 6,172.72,Record: 7-3-0,0,3.9,15 of 29,51%,3.2,Orthodox,55%,54%,1.0,1,0 of 0,0,0%,0.0,28%,50 of 66,61.23,M,2024
5:00,Abus Magomedov,Warlley Alves,2024-05-18,Decision - Unanimous,Dan Miragliotta,3,3,middleweight,f1,7 of 11,2 of 2,11:56,9 of 27,"Sep 02, 1990",11 of 15,15 of 32,187.96,0,0 of 1,198.12,Record: 26-6-1,0,3.73,22 of 44,50%,2.88,Orthodox,44%,55%,0.0,0,6 of 7,85%,77%,2.65,100%,98 of 168,83.91,4 of 4,0 of 1,11:56,16 of 37,"Jan 04, 1991",0 of 0,7 of 26,180.34,0,5 of 8,182.88,Record: 15-8-0,0,3.95,16 of 38,42%,3.04,Orthodox,48%,50%,0.8,0,0 of 0,0,50%,1.22,62%,17 of 39,83.91,M,2024
5:00,Alatengheili,Kleydson Rodrigues,2024-05-18,Decision - Unanimous,Herb Dean,3,3,bantamweight,f1,3 of 8,0 of 0,8:16,15 of 53,"Dec 14, 1991",3 of 6,14 of 50,165.1,0,1 of 1,167.64,Record: 17-9-2,0,4.67,18 of 59,30%,2.64,Orthodox,32%,57%,0.0,0,3 of 4,75%,45%,1.99,75%,107 of 183,61.23,10 of 15,0 of 0,8:16,37 of 88,"Oct 22, 1995",0 of 0,15 of 55,165.1,0,12 of 18,170.18,Record: 8-4-0,0,2.29,37 of 88,42%,4.58,Orthodox,57%,53%,0.6,0,0 of 1,0%,22%,0.6,53%,70 of 126,61.23,M,2024
