name,record,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,Unnamed: 11,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,url
Lerone Murphy,Record: 14-0-1,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",5.01,54%,2.6,60%,,1.59,52%,46%,0.6,http://www.ufcstats.com/fighter-details/396fe87b84ac2e1c
Edson Barboza,Record: 24-12-0,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",4.11,44%,4.65,56%,,0.45,50%,72%,0.1,http://www.ufcstats.com/fighter-details/64a50dad704d1d49
Khaos Williams,Record: 15-3-0,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",5.81,39%,5.42,42%,,0.0,0%,80%,0.0,http://www.ufcstats.com/fighter-details/2558ae2e5671e318
Carlston Harris,Record: 19-6-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 09, 1987",3.18,49%,2.66,52%,,1.97,29%,55%,0.8,http://www.ufcstats.com/fighter-details/a53d30163304aa6e
Themba Gorimbo,Record: 13-4-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jan 23, 1991",2.53,69%,1.08,46%,,4.04,58%,78%,0.0,http://www.ufcstats.com/fighter-details/40f3cb27fc7305a1
Ramiz Brahimaj,Record: 10-5-0,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992",1.74,41%,3.69,45%,,1.61,35%,44%,1.6,http://www.ufcstats.com/fighter-details/3d074044a33825e7
Adrian Yanez,Record: 17-5-0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993",6.51,41%,5.75,57%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/0232cabbc30a2372
Vinicius Salvador,Record: 14-7-0,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 24, 1996",5.48,43%,6.5,48%,,0.36,11%,86%,0.0,http://www.ufcstats.com/fighter-details/65cdf4ec31143d86
Angela Hill,Record: 17-13-0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.38,49%,4.86,61%,,0.8,33%,76%,0.1,http://www.ufcstats.com/fighter-details/f0feeb2192937424
Luana Pinheiro,Record: 11-3-0,"5' 2""",115 lbs.,"62""",Orthodox,"Nov 18, 1992",3.57,40%,4.17,63%,,2.24,33%,66%,0.2,http://www.ufcstats.com/fighter-details/a3a542074109b347
Tom Nolan,Record: 7-1-0,"6' 3""",155 lbs.,"73""",Southpaw,"Mar 08, 2000",9.26,53%,6.54,41%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/6c3b2525436cf5d4
Victor Martinez,Record: 13-6-0,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 17, 1991",7.94,51%,7.66,53%,,0.7,33%,80%,0.0,http://www.ufcstats.com/fighter-details/3e708ce33b6b18e6
Oumar Sy,Record: 10-0-0,"6' 4""",205 lbs.,"83""",Orthodox,"Nov 21, 1995",0.0,0%,0.81,25%,,8.07,66%,0%,4.0,http://www.ufcstats.com/fighter-details/46e2011d92463b7e
Tuco Tokkos,Record: 10-4-0,"6' 4""",205 lbs.,"76""",Orthodox,"Jun 30, 1990",3.26,43%,4.57,45%,,1.96,100%,33%,0.0,http://www.ufcstats.com/fighter-details/3e8118c1ab52f211
Melissa Gatto,Record: 9-2-2,"5' 5""",135 lbs.,"69""",Orthodox,"May 02, 1996",3.78,49%,2.84,54%,,1.47,28%,63%,0.5,http://www.ufcstats.com/fighter-details/a4a80dd7336ffd59
Tamires Vidal,Record: 7-3-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jul 27, 1998",3.2,55%,3.9,54%,,0.0,0%,28%,1.0,http://www.ufcstats.com/fighter-details/4f3064faf17aa711
Abus Magomedov,Record: 26-6-1,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",2.88,44%,3.73,55%,,2.65,77%,100%,0.0,http://www.ufcstats.com/fighter-details/36b8f265bcd1b7a4
Warlley Alves,Record: 15-8-0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,,1.22,50%,62%,0.8,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f
Ariane Carnelossi,Record: 15-3-0,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",2.87,39%,4.74,45%,,1.37,55%,14%,0.3,http://www.ufcstats.com/fighter-details/c0d5c0c95c59050b
Piera Rodriguez,Record: 9-2-0,"5' 3""",115 lbs.,"63""",Orthodox,"Nov 11, 1992",3.64,47%,2.84,58%,,3.11,41%,66%,0.0,http://www.ufcstats.com/fighter-details/e375cb5caf4717b6
Alatengheili,Record: 17-9-2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.64,32%,4.67,57%,,1.99,45%,75%,0.0,http://www.ufcstats.com/fighter-details/1897b7b913736a7c
Kleydson Rodrigues,Record: 8-4-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 22, 1995",4.58,57%,2.29,53%,,0.6,22%,53%,0.6,http://www.ufcstats.com/fighter-details/102a8fdf8cbf7467
Vanessa Demopoulos,Record: 11-5-0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",3.98,41%,5.69,41%,,0.42,11%,30%,0.6,http://www.ufcstats.com/fighter-details/2c483cf443f38ece
Emily Ducote,Record: 13-9-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",7.45,52%,7.84,57%,,0.2,14%,94%,0.0,http://www.ufcstats.com/fighter-details/02f8fedc18cbd26c
