name,record,height,weight,reach,stance,dob,slpm,str_ acc__%,sapm,str_ def_%,td avg.,td acc__%,td def__%,sub. avg.,cluster
Lerone Murphy,Record: 14-0-1,175.26,65.77,185.42,Orthodox,"Jul 22, 1991",5.01,54,2.6,60,1.59,52,46,0.6,4
Edson Barboza,Record: 24-12-0,180.34,65.77,190.5,Orthodox,"Jan 21, 1986",4.11,44,4.65,56,0.45,50,72,0.1,4
Khaos Williams,Record: 15-3-0,182.88,77.11,195.58,Orthodox,"Mar 30, 1994",5.81,39,5.42,42,0.0,0,80,0.0,4
Carlston Harris,Record: 19-6-0,182.88,77.11,193.04,Orthodox,"Jul 09, 1987",3.18,49,2.66,52,1.97,29,55,0.8,2
Themba Gorimbo,Record: 13-4-0,185.42,77.11,195.58,Orthodox,"Jan 23, 1991",2.53,69,1.08,46,4.04,58,78,0.0,2
Ramiz Brahimaj,Record: 10-5-0,177.8,77.11,182.88,Orthodox,"Nov 17, 1992",1.74,41,3.69,45,1.61,35,44,1.6,2
Adrian Yanez,Record: 17-5-0,170.18,61.23,177.8,Orthodox,"Nov 29, 1993",6.51,41,5.75,57,0.0,0,100,0.0,4
Vinicius Salvador,Record: 14-7-0,170.18,61.23,177.8,Unorthodox,"Jul 24, 1996",5.48,43,6.5,48,0.36,11,86,0.0,4
Angela Hill,Record: 17-13-0,160.02,52.16,162.56,Orthodox,"Jan 12, 1985",5.38,49,4.86,61,0.8,33,76,0.1,4
Luana Pinheiro,Record: 11-3-0,157.48,52.16,157.48,Orthodox,"Nov 18, 1992",3.57,40,4.17,63,2.24,33,66,0.2,4
Tom Nolan,Record: 7-1-0,190.5,70.31,185.42,Unorthodox,"Mar 08, 2000",9.26,53,6.54,41,0.0,0,100,0.0,4
Victor Martinez,Record: 13-6-0,172.72,70.31,177.8,Orthodox,"Jul 17, 1991",7.94,51,7.66,53,0.7,33,80,0.0,4
Oumar Sy,Record: 10-0-0,193.04,92.99,210.82,Orthodox,"Nov 21, 1995",0.0,0,0.81,25,8.07,66,0,4.0,0
Tuco Tokkos,Record: 10-4-0,193.04,92.99,193.04,Orthodox,"Jun 30, 1990",3.26,43,4.57,45,1.96,100,33,0.0,2
Melissa Gatto,Record: 9-2-2,165.1,61.23,175.26,Orthodox,"May 02, 1996",3.78,49,2.84,54,1.47,28,63,0.5,4
Tamires Vidal,Record: 7-3-0,167.64,61.23,172.72,Orthodox,"Jul 27, 1998",3.2,55,3.9,54,0.0,0,28,1.0,1
Abus Magomedov,Record: 26-6-1,187.96,83.91,198.12,Orthodox,"Sep 02, 1990",2.88,44,3.73,55,2.65,77,100,0.0,2
Warlley Alves,Record: 15-8-0,180.34,83.91,182.88,Orthodox,"Jan 04, 1991",3.04,48,3.95,50,1.22,50,62,0.8,2
Ariane Carnelossi,Record: 15-3-0,157.48,52.16,154.94,Orthodox,"Nov 17, 1992",2.87,39,4.74,45,1.37,55,14,0.3,1
Piera Rodriguez,Record: 9-2-0,160.02,52.16,160.02,Orthodox,"Nov 11, 1992",3.64,47,2.84,58,3.11,41,66,0.0,2
Alatengheili,Record: 17-9-2,165.1,61.23,167.64,Orthodox,"Dec 14, 1991",2.64,32,4.67,57,1.99,45,75,0.0,2
Kleydson Rodrigues,Record: 8-4-0,165.1,61.23,170.18,Orthodox,"Oct 22, 1995",4.58,57,2.29,53,0.6,22,53,0.6,4
Vanessa Demopoulos,Record: 11-5-0,157.48,52.16,149.86,Orthodox,"Sep 22, 1988",3.98,41,5.69,41,0.42,11,30,0.6,1
Emily Ducote,Record: 13-9-0,157.48,52.16,160.02,Orthodox,"Jan 01, 1994",7.45,52,7.84,57,0.2,14,94,0.0,4
Derrick Lewis,Record: 28-12-0 (1 NC),190.5,117.93,200.66,Orthodox,"Feb 07, 1985",2.48,50,2.48,40,0.57,26,52,0.0,1
Rodrigo Nascimento,Record: 11-2-0 (1 NC),187.96,111.58,203.2,Orthodox,"Nov 26, 1992",4.05,49,4.62,43,1.23,37,76,0.6,4
Joaquin Buckley,Record: 19-6-0,177.8,77.11,193.04,Unorthodox,"Apr 27, 1994",4.25,36,3.12,58,1.69,44,69,0.0,4
Nursulton Ruziboev,Record: 34-9-2 (2 NC),195.58,77.11,193.04,Orthodox,"Nov 19, 1993",2.5,43,4.6,49,0.77,100,0,0.0,2
Carlos Ulberg,Record: 11-1-0,193.04,92.99,195.58,Orthodox,"Nov 07, 1990",7.41,59,3.6,52,0.95,75,75,0.3,4
Alonzo Menifield,Record: 15-4-1,182.88,92.99,193.04,Orthodox,"Oct 18, 1987",3.92,57,3.57,49,0.67,33,75,0.3,4
Diego Ferreira,Record: 19-5-0,175.26,70.31,187.96,Orthodox,"Jan 18, 1985",5.04,39,3.43,56,0.96,30,60,0.6,4
Mateusz Rebecki,Record: 19-2-0,170.18,70.31,167.64,Unorthodox,"Nov 03, 1992",4.69,48,4.15,54,4.12,75,33,1.0,2
Sean Woodson,Record: 12-1-1,187.96,65.77,198.12,Orthodox,"Jun 07, 1992",5.58,46,4.19,58,0.66,62,84,0.4,4
Alex Caceres,Record: 21-15-0 (1 NC),177.8,65.77,185.42,Unorthodox,"Jun 20, 1988",4.21,49,3.09,62,0.54,68,64,0.7,4
Waldo Cortes-Acosta,Record: 12-1-0,193.04,117.93,198.12,Orthodox,"Oct 03, 1991",5.64,48,3.6,52,0.55,60,60,0.2,4
Robelis Despaigne,Record: 5-1-0,200.66,120.2,213.36,Orthodox,"Sep 09, 1988",2.16,54,3.53,49,0.0,0,25,0.0,1
Chase Hooper,Record: 14-3-1,185.42,70.31,187.96,Unorthodox,"Sep 13, 1999",5.08,52,3.33,36,1.45,24,55,2.3,4
Viacheslav Borshchev,Record: 7-4-1,180.34,70.31,175.26,Orthodox,"Jan 08, 1992",5.18,58,4.49,54,0.0,0,35,0.0,4
Esteban Ribovics,Record: 13-1-0,177.8,70.31,175.26,Orthodox,"Apr 27, 1996",6.2,52,3.49,53,0.93,66,60,0.5,4
Terrance McKinney,Record: 15-7-0,177.8,70.31,185.42,Unorthodox,"Sep 15, 1994",4.53,50,2.63,45,3.45,36,85,1.0,2
Tabatha Ricci,Record: 10-2-0,154.94,52.16,154.94,Orthodox,"Feb 21, 1995",4.28,37,4.94,60,2.99,35,77,0.2,4
Tecia Pennington,Record: 13-7-0,154.94,52.16,152.4,Orthodox,"Aug 16, 1989",4.78,47,3.59,61,0.61,14,65,0.1,4
Trey Waters,Record: 9-1-0,195.58,77.11,195.58,Orthodox,"Feb 21, 1995",6.43,44,5.61,56,0.44,33,85,0.9,4
Billy Ray Goff,Record: 9-3-0,177.8,77.11,182.88,Unorthodox,"Jun 18, 1998",8.56,46,5.71,59,2.01,17,100,0.0,4
Charles Johnson,Record: 15-6-0,175.26,56.7,177.8,Unorthodox,"Jan 10, 1991",4.48,52,3.16,59,0.41,23,67,0.6,4
Jake Hadley,Record: 10-3-0,170.18,56.7,177.8,Unorthodox,"Aug 03, 1996",3.36,42,3.56,60,0.24,6,35,1.7,1
Veronica Hardy,Record: 9-4-1,162.56,56.7,162.56,Unorthodox,"Oct 30, 1995",3.13,45,3.75,47,1.08,41,60,0.3,4
JJ Aldrich,Record: 13-7-0,165.1,56.7,170.18,Unorthodox,"Sep 29, 1992",3.88,46,4.38,60,0.66,23,66,0.0,4
Alexandre Pantoja,Record: 28-5-0,165.1,56.7,170.18,Orthodox,"Apr 16, 1990",4.41,49,3.97,50,2.61,47,68,0.8,4
Steve Erceg,Record: 12-2-0,172.72,56.7,172.72,Orthodox,"Jul 27, 1995",4.52,49,4.2,52,1.24,26,60,0.5,4
Jose Aldo,Record: 32-8-0,170.18,61.23,177.8,Orthodox,"Sep 09, 1986",3.63,46,3.73,60,0.51,53,91,0.1,4
Jonathan Martinez,Record: 19-5-0,172.72,61.23,177.8,Unorthodox,"Apr 20, 1994",4.54,49,3.87,57,0.41,35,68,0.1,4
Anthony Smith,Record: 38-19-0,193.04,92.99,193.04,Orthodox,"Jul 26, 1988",3.23,48,4.47,46,0.49,26,49,0.7,1
Vitor Petrino,Record: 11-1-0,187.96,92.99,195.58,Orthodox,"Aug 28, 1997",2.82,45,2.58,45,3.98,66,71,0.8,2
Michel Pereira,Record: 31-11-0 (2 NC),185.42,83.91,185.42,Orthodox,"Oct 06, 1993",5.16,54,3.7,58,1.53,55,94,0.8,4
Ihor Potieria,Record: 20-6-0,190.5,83.91,190.5,Unorthodox,"May 29, 1996",5.13,50,5.04,51,0.0,0,57,0.0,4
Caio Borralho,Record: 16-1-0 (1 NC),185.42,83.91,190.5,Unorthodox,"Jan 16, 1993",2.91,60,2.06,60,1.99,63,76,0.5,2
Paul Craig,Record: 17-8-1,190.5,83.91,193.04,Orthodox,"Nov 27, 1987",2.45,46,2.97,44,1.68,20,37,1.6,1
Joanderson Brito,Record: 17-3-1,172.72,65.77,182.88,Orthodox,"Feb 11, 1995",3.35,51,2.65,46,3.11,76,62,0.6,2
Jack Shore,Record: 17-2-0,172.72,65.77,180.34,Orthodox,"Feb 06, 1995",3.75,58,2.32,56,3.1,38,76,0.7,2
Iasmin Lucindo,Record: 16-5-0,160.02,52.16,167.64,Orthodox,"Jan 08, 2002",3.95,46,3.11,66,2.23,53,80,0.3,2
Karolina Kowalkiewicz,Record: 16-8-0,160.02,52.16,162.56,Orthodox,"Oct 15, 1985",5.71,43,5.55,58,0.34,23,73,0.2,4
Myktybek Orolbai,Record: 13-1-1,177.8,70.31,187.96,Orthodox,"Feb 10, 1998",3.02,52,2.56,47,7.44,44,50,0.6,2
Elves Brener,Record: 16-4-0,177.8,70.31,182.88,Orthodox,"Sep 27, 1997",4.19,47,4.82,52,1.59,31,75,0.0,4
Drakkar Klose,Record: 15-2-1,175.26,70.31,177.8,Orthodox,"Mar 09, 1988",4.37,55,3.46,51,1.58,26,69,0.0,4
Joaquim Silva,Record: 13-6-0,172.72,70.31,175.26,Unorthodox,"Feb 05, 1989",3.66,43,4.53,53,0.39,50,69,0.8,4
Mauricio Ruffy,Record: 10-1-0,180.34,70.31,190.5,Orthodox,"Jun 17, 1996",4.88,59,3.8,59,0.0,0,100,0.0,4
Jamie Mullarkey,Record: 17-8-0,182.88,70.31,187.96,Orthodox,"Aug 17, 1994",4.39,46,4.53,53,2.31,34,78,0.1,4
Dione Barbosa,Record: 7-2-0,167.64,56.7,167.64,Orthodox,"May 08, 1992",2.2,54,2.86,66,2.3,25,0,3.1,0
Ernesta Kareckaite,Record: 5-1-1,175.26,56.7,180.34,Orthodox,"Jul 05, 1998",7.9,42,6.9,43,1.0,66,86,0.0,4
Ismael Bonfim,Record: 20-4-0,172.72,70.31,180.34,Orthodox,"Dec 28, 1995",5.8,54,3.16,70,1.07,33,76,0.0,4
Vinc Pichel,Record: 14-4-0,177.8,70.31,182.88,Orthodox,"Nov 23, 1982",3.62,46,3.05,55,2.78,54,25,0.2,2
Alessandro Costa,Record: 14-4-0,162.56,56.7,170.18,Orthodox,"Jan 28, 1996",4.14,47,3.5,57,0.27,12,90,0.0,4
Kevin Borjas,Record: 9-3-0,165.1,56.7,172.72,Orthodox,"Dec 06, 1997",4.92,40,6.7,49,0.0,0,61,0.0,4
Alex Perez,Record: 25-8-0,167.64,56.7,165.1,Orthodox,"Mar 21, 1992",4.1,45,3.13,59,2.06,44,82,0.9,4
Matheus Nicolau,Record: 19-5-1,167.64,56.7,167.64,Orthodox,"Jan 06, 1993",3.62,52,3.19,66,1.38,45,93,0.8,4
Bogdan Guskov,Record: 16-3-0,190.5,92.99,193.04,Orthodox,"Sep 12, 1992",3.13,48,3.7,47,0.0,0,66,0.0,1
Ryan Spann,Record: 21-10-0,195.58,92.99,200.66,Orthodox,"Aug 24, 1991",3.25,40,3.89,44,1.34,35,47,1.5,1
Karine Silva,Record: 18-4-0,165.1,56.7,170.18,Orthodox,"Dec 02, 1993",2.67,35,3.12,49,3.59,72,0,2.2,2
Ariane da Silva,Record: 17-9-0,167.64,56.7,170.18,Orthodox,"Jan 26, 1994",4.1,41,3.96,53,0.56,55,71,0.3,4
Jhonata Diniz,Record: 7-0-0,193.04,115.21,200.66,Orthodox,"Jun 23, 1991",4.31,48,3.92,45,0.0,0,80,0.0,4
Austen Lane,Record: 12-5-0 (1 NC),198.12,111.13,203.2,Orthodox,"Nov 09, 1987",3.43,46,2.81,44,1.03,20,0,0.0,1
David Onama,Record: 12-2-0,180.34,65.77,187.96,Orthodox,"Jun 07, 1994",5.04,48,5.1,52,0.67,17,52,0.5,4
Jonathan Pearce,Record: 14-6-0,182.88,65.77,180.34,Unorthodox,"May 01, 1992",5.32,54,3.43,54,5.24,50,58,0.8,2
Uros Medic,Record: 10-2-0,185.42,77.11,180.34,Unorthodox,"Apr 25, 1993",5.51,60,3.18,58,0.38,50,55,0.0,4
Tim Means,Record: 33-16-1 (1 NC),187.96,77.11,190.5,Orthodox,"Feb 20, 1984",5.08,49,3.64,60,1.16,40,65,0.2,4
Victor Henry,Record: 24-6-0 (1 NC),170.18,61.23,172.72,Unorthodox,"May 04, 1987",8.34,54,5.62,47,0.0,0,83,0.5,4
Rani Yahya,Record: 28-12-1 (1 NC),167.64,61.23,170.18,Orthodox,"Sep 12, 1984",1.71,38,2.08,50,2.73,30,29,1.8,2
Austin Hubbard,Record: 17-7-0,177.8,70.31,180.34,Orthodox,"Dec 22, 1991",4.11,45,3.74,56,1.75,50,65,0.0,4
Michal Figlak,Record: 8-2-0,177.8,70.31,177.8,Orthodox,"Aug 15, 1996",4.0,39,4.93,52,0.5,12,57,0.0,4
Don'Tale Mayes,Record: 11-6-0 (1 NC),198.12,117.93,205.74,Orthodox,"Jan 16, 1992",3.69,43,3.96,47,0.71,43,60,0.0,4
Caio Machado,Record: 8-3-1,193.04,113.4,198.12,Unorthodox,"Jul 20, 1994",6.07,58,2.73,63,0.0,0,82,0.0,4
Ketlen Souza,Record: 14-4-0,160.02,52.16,160.02,Orthodox,"Aug 18, 1994",4.78,68,2.03,60,0.9,50,50,0.0,4
Marnic Mann,Record: 6-3-0,152.4,52.16,162.56,Unorthodox,"Mar 05, 1993",1.47,41,5.08,31,1.9,33,25,0.4,1
Chris Padilla,Record: 14-6-0,175.26,70.31,187.96,Orthodox,"Sep 14, 1995",2.64,46,4.18,52,9.89,100,0,3.3,0
James Llontop,Record: 14-3-0,182.88,70.31,185.42,Orthodox,"Aug 02, 1999",4.76,52,2.1,70,0.0,0,50,0.0,4
Ivana Petrovic,Record: 7-1-0,172.72,56.7,177.8,Unorthodox,"Jun 11, 1994",2.19,42,2.45,53,2.83,50,60,1.7,2
Liang Na,Record: 19-8-0,165.1,56.7,170.18,Orthodox,"Jul 27, 1996",1.99,42,3.95,36,3.6,58,25,0.5,2
Maheshate,Record: 10-3-0,182.88,70.31,180.34,Orthodox,"Dec 01, 1999",3.9,28,5.76,53,0.0,0,45,0.0,1
Gabriel Benitez,Record: 23-13-0,172.72,70.31,180.34,Unorthodox,"Jun 15, 1988",5.26,41,4.49,63,0.22,50,55,0.9,4
Alex Pereira,Record: 10-2-0,193.04,92.99,200.66,Orthodox,"Jul 07, 1987",5.1,62,3.65,50,0.18,100,70,0.4,4
Jamahal Hill,Record: 12-2-0 (1 NC),193.04,92.99,200.66,Unorthodox,"May 19, 1991",7.18,54,3.51,46,0.0,0,73,0.0,4
Zhang Weili,Record: 25-3-0,162.56,52.16,160.02,Unorthodox,"Aug 13, 1989",5.66,53,3.15,53,2.51,46,50,0.5,4
Yan Xiaonan,Record: 18-4-0 (1 NC),165.1,52.16,160.02,Orthodox,"Jun 16, 1989",4.97,44,3.66,58,1.0,73,62,0.0,4
Max Holloway,Record: 26-7-0,180.34,65.77,175.26,Orthodox,"Dec 04, 1991",7.17,48,4.72,59,0.25,53,84,0.3,4
Justin Gaethje,Record: 25-5-0,180.34,70.31,177.8,Orthodox,"Nov 14, 1988",6.78,59,7.46,52,0.11,25,75,0.0,4
Arman Tsarukyan,Record: 22-3-0,170.18,70.31,182.88,Orthodox,"Oct 11, 1996",3.79,48,1.84,53,3.25,37,75,0.0,2
Charles Oliveira,Record: 34-10-0 (1 NC),177.8,70.31,187.96,Orthodox,"Oct 17, 1989",3.39,53,3.2,51,2.17,40,55,2.8,2
Bo Nickal,Record: 6-0-0,185.42,83.91,193.04,Unorthodox,"Jan 14, 1996",1.64,62,0.5,70,7.46,50,0,7.5,0
Cody Brundage,Record: 10-6-0,182.88,83.91,182.88,Orthodox,"May 16, 1994",1.62,54,2.3,43,2.33,52,68,0.9,2
Jiri Prochazka,Record: 30-4-1,190.5,92.99,203.2,Orthodox,"Oct 14, 1992",5.75,56,5.43,41,0.79,60,68,0.3,4
Aleksandar Rakic,Record: 14-4-0,193.04,92.99,198.12,Orthodox,"Feb 06, 1992",4.26,50,2.8,50,0.76,25,85,0.1,4
Aljamain Sterling,Record: 24-4-0,170.18,65.77,180.34,Orthodox,"Jul 31, 1989",4.61,52,2.3,58,2.31,27,45,0.7,2
Calvin Kattar,Record: 23-8-0,180.34,65.77,182.88,Orthodox,"Mar 26, 1988",4.76,39,6.75,54,0.39,29,72,0.1,4
Kayla Harrison,Record: 17-1-0,172.72,61.23,167.64,Unorthodox,"Jul 02, 1990",7.52,71,0.29,83,4.42,40,100,2.2,2
Holly Holm,Record: 15-7-0 (1 NC),172.72,61.23,175.26,Unorthodox,"Oct 17, 1981",3.13,40,2.92,55,0.87,30,76,0.1,4
Diego Lopes,Record: 24-6-0,180.34,65.77,182.88,Orthodox,"Dec 30, 1994",3.22,58,4.73,37,0.0,0,42,5.0,0
Sodiq Yusuff,Record: 13-4-0,175.26,65.77,180.34,Orthodox,"May 19, 1993",5.66,49,4.51,53,0.28,20,62,0.4,4
Renato Moicano,Record: 19-5-1,180.34,70.31,182.88,Orthodox,"May 21, 1989",4.38,48,3.68,60,1.89,45,72,0.6,4
Jalin Turner,Record: 14-8-0,190.5,70.31,195.58,Unorthodox,"May 18, 1995",5.6,48,4.57,41,0.79,55,74,1.1,4
Jessica Andrade,Record: 26-12-0,154.94,52.16,157.48,Orthodox,"Sep 25, 1991",6.62,50,5.37,55,2.37,55,72,0.3,4
Marina Rodriguez,Record: 17-4-2,167.64,52.16,165.1,Orthodox,"Apr 29, 1987",4.82,47,3.12,55,0.23,42,65,0.2,4
Bobby Green,Record: 32-15-1 (1 NC),177.8,70.31,180.34,Orthodox,"Sep 09, 1986",6.45,52,3.75,62,1.19,38,74,0.3,4
Jim Miller,Record: 37-18-0 (1 NC),172.72,70.31,180.34,Unorthodox,"Aug 30, 1983",2.99,42,3.5,56,1.53,44,47,1.7,2
Deiveson Figueiredo,Record: 23-3-1,165.1,61.23,172.72,Orthodox,"Dec 18, 1987",3.01,55,3.38,50,1.65,42,58,1.7,2
Cody Garbrandt,Record: 14-6-0,172.72,61.23,165.1,Orthodox,"Jul 07, 1991",2.98,40,3.76,60,1.03,34,80,0.0,4
Brendan Allen,Record: 24-5-0,187.96,83.91,190.5,Orthodox,"Dec 28, 1995",3.98,53,3.83,47,1.74,47,58,1.4,2
Chris Curtis,Record: 31-11-0 (1 NC),177.8,83.91,190.5,Orthodox,"Jul 15, 1987",5.76,51,6.16,52,0.0,0,82,0.0,4
Damon Jackson,Record: 23-6-1 (1 NC),180.34,65.77,180.34,Unorthodox,"Aug 08, 1988",3.0,41,3.29,51,2.51,35,40,1.4,2
