name,height,weight,reach,slpm,str_acc_%,sapm,str_def_%,td_avg,td_acc_%,td_def_%,sub_avg,stance,cluster
Lerone Murphy,175.26,145.0,73.0,5.01,54,2.6,60,1.59,52,46,0.6,Orthodox,5
Edson Barboza,180.34,145.0,75.0,4.11,44,4.65,56,0.45,50,72,0.1,Orthodox,5
Khaos Williams,182.88,170.0,77.0,5.81,39,5.42,42,0.0,0,80,0.0,Orthodox,3
Carlston Harris,182.88,170.0,76.0,3.18,49,2.66,52,1.97,29,55,0.8,Orthodox,0
Themba Gorimbo,185.42000000000002,170.0,77.0,2.53,69,1.08,46,4.04,58,78,0.0,Orthodox,5
Ramiz Brahimaj,177.8,170.0,72.0,1.74,41,3.69,45,1.61,35,44,1.6,Orthodox,0
Adrian Yanez,170.18,135.0,70.0,6.51,41,5.75,57,0.0,0,100,0.0,Orthodox,3
Vinicius Salvador,170.18,135.0,70.0,5.48,43,6.5,48,0.36,11,86,0.0,Unorthodox,3
Angela Hill,160.02,115.0,64.0,5.38,49,4.86,61,0.8,33,76,0.1,Orthodox,3
Luana Pinheiro,157.48,115.0,62.0,3.57,40,4.17,63,2.24,33,66,0.2,Orthodox,5
Tom Nolan,190.5,155.0,73.0,9.26,53,6.54,41,0.0,0,100,0.0,Unorthodox,3
Victor Martinez,172.72,155.0,70.0,7.94,51,7.66,53,0.7,33,80,0.0,Orthodox,3
Oumar Sy,193.04,205.0,83.0,0.0,0,0.81,25,8.07,66,0,4.0,Orthodox,0
Tuco Tokkos,193.04,205.0,76.0,3.26,43,4.57,45,1.96,100,33,0.0,Orthodox,5
Melissa Gatto,165.1,135.0,69.0,3.78,49,2.84,54,1.47,28,63,0.5,Orthodox,2
Tamires Vidal,167.64000000000001,135.0,68.0,3.2,55,3.9,54,0.0,0,28,1.0,Orthodox,0
Abus Magomedov,187.96,185.0,78.0,2.88,44,3.73,55,2.65,77,100,0.0,Orthodox,5
Warlley Alves,180.34,185.0,72.0,3.04,48,3.95,50,1.22,50,62,0.8,Orthodox,0
Ariane Carnelossi,157.48,115.0,61.0,2.87,39,4.74,45,1.37,55,14,0.3,Orthodox,2
Piera Rodriguez,160.02,115.0,63.0,3.64,47,2.84,58,3.11,41,66,0.0,Orthodox,5
Alatengheili,165.1,135.0,66.0,2.64,32,4.67,57,1.99,45,75,0.0,Orthodox,5
Kleydson Rodrigues,165.1,135.0,67.0,4.58,57,2.29,53,0.6,22,53,0.6,Orthodox,2
Vanessa Demopoulos,157.48,115.0,59.0,3.98,41,5.69,41,0.42,11,30,0.6,Orthodox,2
Emily Ducote,157.48,115.0,63.0,7.45,52,7.84,57,0.2,14,94,0.0,Orthodox,3
Derrick Lewis,190.5,260.0,79.0,2.48,50,2.48,40,0.57,26,52,0.0,Orthodox,2
Rodrigo Nascimento,187.96,246.0,80.0,4.05,49,4.62,43,1.23,37,76,0.6,Orthodox,5
Joaquin Buckley,177.8,170.0,76.0,4.25,36,3.12,58,1.69,44,69,0.0,Unorthodox,5
Nursulton Ruziboev,195.58,170.0,76.0,2.5,43,4.6,49,0.77,100,0,0.0,Orthodox,2
Carlos Ulberg,193.04,205.0,77.0,7.41,59,3.6,52,0.95,75,75,0.3,Orthodox,5
Alonzo Menifield,182.88,205.0,76.0,3.92,57,3.57,49,0.67,33,75,0.3,Orthodox,5
Diego Ferreira,175.26,155.0,74.0,5.04,39,3.43,56,0.96,30,60,0.6,Orthodox,2
Mateusz Rebecki,170.18,155.0,66.0,4.69,48,4.15,54,4.12,75,33,1.0,Unorthodox,0
Sean Woodson,187.96,145.0,78.0,5.58,46,4.19,58,0.66,62,84,0.4,Orthodox,5
Alex Caceres,177.8,145.0,73.0,4.21,49,3.09,62,0.54,68,64,0.7,Unorthodox,0
Waldo Cortes-Acosta,193.04,260.0,78.0,5.64,48,3.6,52,0.55,60,60,0.2,Orthodox,5
Robelis Despaigne,200.66,265.0,84.0,2.16,54,3.53,49,0.0,0,25,0.0,Orthodox,2
Chase Hooper,185.42000000000002,155.0,74.0,5.08,52,3.33,36,1.45,24,55,2.3,Unorthodox,0
Viacheslav Borshchev,180.34,155.0,69.0,5.18,58,4.49,54,0.0,0,35,0.0,Orthodox,2
Esteban Ribovics,177.8,155.0,69.0,6.2,52,3.49,53,0.93,66,60,0.5,Orthodox,5
Terrance McKinney,177.8,155.0,73.0,4.53,50,2.63,45,3.45,36,85,1.0,Unorthodox,0
Tabatha Ricci,154.94,115.0,61.0,4.28,37,4.94,60,2.99,35,77,0.2,Orthodox,5
Tecia Pennington,154.94,115.0,60.0,4.78,47,3.59,61,0.61,14,65,0.1,Orthodox,2
Trey Waters,195.58,170.0,77.0,6.43,44,5.61,56,0.44,33,85,0.9,Orthodox,0
Billy Ray Goff,177.8,170.0,72.0,8.56,46,5.71,59,2.01,17,100,0.0,Unorthodox,3
Charles Johnson,175.26,125.0,70.0,4.48,52,3.16,59,0.41,23,67,0.6,Unorthodox,2
Jake Hadley,170.18,125.0,70.0,3.36,42,3.56,60,0.24,6,35,1.7,Unorthodox,0
Veronica Hardy,162.56,125.0,64.0,3.13,45,3.75,47,1.08,41,60,0.3,Unorthodox,2
JJ Aldrich,165.1,125.0,67.0,3.88,46,4.38,60,0.66,23,66,0.0,Unorthodox,2
Alexandre Pantoja,165.1,125.0,67.0,4.41,49,3.97,50,2.61,47,68,0.8,Orthodox,0
Steve Erceg,172.72,125.0,68.0,4.52,49,4.2,52,1.24,26,60,0.5,Orthodox,2
Jose Aldo,170.18,135.0,70.0,3.63,46,3.73,60,0.51,53,91,0.1,Orthodox,5
Jonathan Martinez,172.72,135.0,70.0,4.54,49,3.87,57,0.41,35,68,0.1,Unorthodox,2
Anthony Smith,193.04,205.0,76.0,3.23,48,4.47,46,0.49,26,49,0.7,Orthodox,0
Vitor Petrino,187.96,205.0,77.0,2.82,45,2.58,45,3.98,66,71,0.8,Orthodox,0
Michel Pereira,185.42000000000002,185.0,73.0,5.16,54,3.7,58,1.53,55,94,0.8,Orthodox,0
Ihor Potieria,190.5,185.0,75.0,5.13,50,5.04,51,0.0,0,57,0.0,Unorthodox,2
Caio Borralho,185.42000000000002,185.0,75.0,2.91,60,2.06,60,1.99,63,76,0.5,Unorthodox,5
Paul Craig,190.5,185.0,76.0,2.45,46,2.97,44,1.68,20,37,1.6,Orthodox,0
Joanderson Brito,172.72,145.0,72.0,3.35,51,2.65,46,3.11,76,62,0.6,Orthodox,5
Jack Shore,172.72,145.0,71.0,3.75,58,2.32,56,3.1,38,76,0.7,Orthodox,0
Iasmin Lucindo,160.02,115.0,66.0,3.95,46,3.11,66,2.23,53,80,0.3,Orthodox,5
Karolina Kowalkiewicz,160.02,115.0,64.0,5.71,43,5.55,58,0.34,23,73,0.2,Orthodox,3
Myktybek Orolbai,177.8,155.0,74.0,3.02,52,2.56,47,7.44,44,50,0.6,Orthodox,5
Elves Brener,177.8,155.0,72.0,4.19,47,4.82,52,1.59,31,75,0.0,Orthodox,3
Drakkar Klose,175.26,155.0,70.0,4.37,55,3.46,51,1.58,26,69,0.0,Orthodox,2
Joaquim Silva,172.72,155.0,69.0,3.66,43,4.53,53,0.39,50,69,0.8,Unorthodox,0
Mauricio Ruffy,180.34,155.0,75.0,4.88,59,3.8,59,0.0,0,100,0.0,Orthodox,3
Jamie Mullarkey,182.88,155.0,74.0,4.39,46,4.53,53,2.31,34,78,0.1,Orthodox,5
Dione Barbosa,167.64000000000001,125.0,66.0,2.2,54,2.86,66,2.3,25,0,3.1,Orthodox,0
Ernesta Kareckaite,175.26,125.0,71.0,7.9,42,6.9,43,1.0,66,86,0.0,Orthodox,5
Ismael Bonfim,172.72,155.0,71.0,5.8,54,3.16,70,1.07,33,76,0.0,Orthodox,5
Vinc Pichel,177.8,155.0,72.0,3.62,46,3.05,55,2.78,54,25,0.2,Orthodox,2
Alessandro Costa,162.56,125.0,67.0,4.14,47,3.5,57,0.27,12,90,0.0,Orthodox,3
Kevin Borjas,165.1,125.0,68.0,4.92,40,6.7,49,0.0,0,61,0.0,Orthodox,2
Alex Perez,167.64000000000001,125.0,65.0,4.1,45,3.13,59,2.06,44,82,0.9,Orthodox,0
Matheus Nicolau,167.64000000000001,125.0,66.0,3.62,52,3.19,66,1.38,45,93,0.8,Orthodox,0
Bogdan Guskov,190.5,205.0,76.0,3.13,48,3.7,47,0.0,0,66,0.0,Orthodox,2
Ryan Spann,195.58,205.0,79.0,3.25,40,3.89,44,1.34,35,47,1.5,Orthodox,0
Karine Silva,165.1,125.0,67.0,2.67,35,3.12,49,3.59,72,0,2.2,Orthodox,0
Ariane da Silva,167.64000000000001,125.0,67.0,4.1,41,3.96,53,0.56,55,71,0.3,Orthodox,5
Jhonata Diniz,193.04,254.0,79.0,4.31,48,3.92,45,0.0,0,80,0.0,Orthodox,3
Austen Lane,198.12,245.0,80.0,3.43,46,2.81,44,1.03,20,0,0.0,Orthodox,2
David Onama,180.34,145.0,74.0,5.04,48,5.1,52,0.67,17,52,0.5,Orthodox,2
Jonathan Pearce,182.88,145.0,71.0,5.32,54,3.43,54,5.24,50,58,0.8,Unorthodox,0
Uros Medic,185.42000000000002,170.0,71.0,5.51,60,3.18,58,0.38,50,55,0.0,Unorthodox,5
Tim Means,187.96,170.0,75.0,5.08,49,3.64,60,1.16,40,65,0.2,Orthodox,5
Victor Henry,170.18,135.0,68.0,8.34,54,5.62,47,0.0,0,83,0.5,Unorthodox,3
Rani Yahya,167.64000000000001,135.0,67.0,1.71,38,2.08,50,2.73,30,29,1.8,Orthodox,0
Austin Hubbard,177.8,155.0,71.0,4.11,45,3.74,56,1.75,50,65,0.0,Orthodox,5
Michal Figlak,177.8,155.0,70.0,4.0,39,4.93,52,0.5,12,57,0.0,Orthodox,2
Don'Tale Mayes,198.12,260.0,81.0,3.69,43,3.96,47,0.71,43,60,0.0,Orthodox,2
Caio Machado,193.04,250.0,78.0,6.07,58,2.73,63,0.0,0,82,0.0,Unorthodox,3
Ketlen Souza,160.02,115.0,63.0,4.78,68,2.03,60,0.9,50,50,0.0,Orthodox,5
Marnic Mann,152.4,115.0,64.0,1.47,41,5.08,31,1.9,33,25,0.4,Unorthodox,2
Chris Padilla,175.26,155.0,74.0,2.64,46,4.18,52,9.89,100,0,3.3,Orthodox,0
James Llontop,182.88,155.0,73.0,4.76,52,2.1,70,0.0,0,50,0.0,Orthodox,2
Ivana Petrovic,172.72,125.0,70.0,2.19,42,2.45,53,2.83,50,60,1.7,Unorthodox,0
Liang Na,165.1,125.0,67.0,1.99,42,3.95,36,3.6,58,25,0.5,Orthodox,2
Maheshate,182.88,155.0,71.0,3.9,28,5.76,53,0.0,0,45,0.0,Orthodox,2
Gabriel Benitez,172.72,155.0,71.0,5.26,41,4.49,63,0.22,50,55,0.9,Unorthodox,0
Alex Pereira,193.04,205.0,79.0,5.1,62,3.65,50,0.18,100,70,0.4,Orthodox,5
Jamahal Hill,193.04,205.0,79.0,7.18,54,3.51,46,0.0,0,73,0.0,Unorthodox,3
Zhang Weili,162.56,115.0,63.0,5.66,53,3.15,53,2.51,46,50,0.5,Unorthodox,5
Yan Xiaonan,165.1,115.0,63.0,4.97,44,3.66,58,1.0,73,62,0.0,Orthodox,5
Max Holloway,180.34,145.0,69.0,7.17,48,4.72,59,0.25,53,84,0.3,Orthodox,5
Justin Gaethje,180.34,155.0,70.0,6.78,59,7.46,52,0.11,25,75,0.0,Orthodox,3
Arman Tsarukyan,170.18,155.0,72.0,3.79,48,1.84,53,3.25,37,75,0.0,Orthodox,5
Charles Oliveira,177.8,155.0,74.0,3.39,53,3.2,51,2.17,40,55,2.8,Orthodox,0
Bo Nickal,185.42000000000002,185.0,76.0,1.64,62,0.5,70,7.46,50,0,7.5,Unorthodox,0
