method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Decision - Unanimous,Herb Dean,featherweight,f1,Lerone Murphy,Edson Barboza,8.8,3.16,60.44,32.64,3.16,8.8,67.36,39.56,2.4,0.0,66,0,100,34,0.0,0.0,175.26,180.34,65.77,65.77,185.42,190.5,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,welterweight,f1,Khaos Williams,Carlston Harris,8.0,9.33,60.0,46.67,9.33,8.0,53.33,40.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,182.88,77.11,77.11,195.58,193.04,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,welterweight,f1,Themba Gorimbo,Ramiz Brahimaj,2.87,0.2,82.69,50.0,0.2,2.87,50.0,17.31,5.0,1.0,83,12,88,17,0.0,0.0,185.42,177.8,77.11,77.11,195.58,182.88,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Adrian Yanez,Vinicius Salvador,12.93,6.11,64.29,50.0,6.11,12.93,50.0,35.71,0.0,0.0,0,0,100,100,0.0,0.0,170.18,170.18,61.23,61.23,177.8,177.8,Orthodox,Southpaw
Submission,Herb Dean,strawweight,f1,Angela Hill,Luana Pinheiro,3.04,1.85,35.44,28.33,1.85,3.04,71.67,64.56,3.26,1.63,33,14,86,67,0.11,0.0,160.02,157.48,52.16,52.16,162.56,157.48,Orthodox,Orthodox
KO/TKO,Mark Smith,lightweight,f1,Tom Nolan,Victor Martinez,8.61,4.7,51.56,69.23,4.7,8.61,30.77,48.44,0.0,0.0,0,0,100,100,0.0,0.0,190.5,172.72,70.31,70.31,185.42,177.8,Southpaw,Orthodox
Submission,Dan Miragliotta,light heavyweight,f1,Oumar Sy,Tuco Tokkos,0.0,0.81,0.0,75.0,0.81,0.0,25.0,100.0,8.07,0.0,66,0,100,34,0.27,0.0,193.04,193.04,92.99,92.99,210.82,193.04,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Melissa Gatto,Tamires Vidal,2.83,1.41,57.69,51.72,1.41,2.83,48.28,42.31,2.83,0.0,100,0,100,0,0.09,0.09,165.1,167.64,61.23,61.23,175.26,172.72,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,middleweight,f1,Abus Magomedov,Warlley Alves,1.47,1.07,50.0,42.11,1.07,1.47,57.89,50.0,6.0,0.0,85,0,100,15,0.0,0.0,187.96,180.34,83.91,83.91,198.12,182.88,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,bantamweight,f1,Alatengheili,Kleydson Rodrigues,1.2,2.47,30.51,42.05,2.47,1.2,57.95,69.49,3.0,0.0,75,0,100,25,0.0,0.0,165.1,165.1,61.23,61.23,167.64,170.18,Orthodox,Orthodox
Decision - Split,Chris Tognoni,strawweight,f1,Vanessa Demopoulos,Emily Ducote,7.27,9.53,37.2,66.82,9.53,7.27,33.18,62.8,0.0,0.0,0,0,100,100,0.0,0.0,157.48,157.48,52.16,52.16,149.86,160.02,Orthodox,Orthodox
KO/TKO,Jason Herzog,heavyweight,f1,Derrick Lewis,Rodrigo Nascimento,3.79,2.5,54.67,65.85,2.5,3.79,34.15,45.33,1.39,1.39,25,100,0,75,0.0,0.0,190.5,187.96,117.93,111.58,200.66,203.2,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,welterweight,f1,Joaquin Buckley,Nursulton Ruziboev,5.73,2.07,55.13,43.06,2.07,5.73,56.94,44.87,4.0,0.0,100,0,100,0,0.0,0.0,177.8,195.58,77.11,77.11,193.04,193.04,Southpaw,Orthodox
KO/TKO,Nick Berens,light heavyweight,f1,Carlos Ulberg,Alonzo Menifield,35.0,5.0,63.64,25.0,5.0,35.0,75.0,36.36,0.0,0.0,0,0,100,100,0.0,0.0,193.04,182.88,92.99,92.99,195.58,193.04,Orthodox,Orthodox
KO/TKO,Gary Copeland,lightweight,f1,Diego Ferreira,Mateusz Rebecki,8.28,3.5,51.04,37.96,3.5,8.28,62.04,48.96,3.03,4.04,100,80,20,0,0.0,0.0,175.26,170.18,70.31,70.31,187.96,167.64,Orthodox,Southpaw
Decision - Unanimous,Jason Herzog,featherweight,f1,Sean Woodson,Alex Caceres,6.73,5.47,44.69,41.62,5.47,6.73,58.38,55.31,0.0,0.0,0,0,100,100,0.0,0.0,187.96,177.8,65.77,65.77,198.12,185.42,Orthodox,Southpaw
Decision - Unanimous,Josh Stewart,heavyweight,f1,Waldo Cortes-Acosta,Robelis Despaigne,3.47,1.73,51.49,50.0,1.73,3.47,50.0,48.51,3.0,0.0,75,0,100,25,0.07,0.0,193.04,200.66,117.93,120.2,198.12,213.36,Orthodox,Orthodox
Submission,Keith Peterson,lightweight,f1,Chase Hooper,Viacheslav Borshchev,7.75,0.25,56.88,33.33,0.25,7.75,66.67,43.12,1.88,0.0,100,0,100,0,0.25,0.0,185.42,180.34,70.31,70.31,187.96,175.26,Southpaw,Orthodox
KO/TKO,Gary Copeland,lightweight,f1,Esteban Ribovics,Terrance McKinney,8.11,8.11,41.67,27.78,8.11,8.11,72.22,58.33,0.0,0.0,0,0,100,100,0.0,0.0,177.8,177.8,70.31,70.31,175.26,185.42,Orthodox,Switch
Decision - Split,Nick Berens,strawweight,f1,Tabatha Ricci,Tecia Pennington,3.6,5.33,37.76,36.53,5.33,3.6,63.47,62.24,1.0,0.0,10,0,100,90,0.0,0.0,154.94,154.94,52.16,52.16,154.94,152.4,Orthodox,Orthodox
Decision - Unanimous,Josh Stewart,welterweight,f1,Trey Waters,Billy Ray Goff,6.4,7.73,42.67,46.59,7.73,6.4,53.41,57.33,0.0,1.0,0,8,92,100,0.07,0.0,195.58,177.8,77.11,77.11,195.58,182.88,Orthodox,Switch
Decision - Unanimous,Gary Copeland,flyweight,f1,Charles Johnson,Jake Hadley,4.67,3.2,41.67,37.5,3.2,4.67,62.5,58.33,0.0,0.0,0,0,100,100,0.0,0.0,175.26,170.18,56.7,56.7,177.8,177.8,Switch,Southpaw
Decision - Unanimous,Josh Stewart,flyweight,f1,Veronica Hardy,JJ Aldrich,2.4,1.8,46.15,42.86,1.8,2.4,57.14,53.85,0.0,0.0,0,0,100,100,0.0,0.0,162.56,165.1,56.7,56.7,162.56,170.18,Southpaw,Southpaw
Decision - Unanimous,Marc Goddard,flyweight,f1,Alexandre Pantoja,Steve Erceg,5.0,4.44,51.65,52.36,4.44,5.0,47.64,48.35,5.4,0.6,47,16,84,53,0.0,0.0,165.1,172.72,56.7,56.7,170.18,172.72,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,bantamweight,f1,Jose Aldo,Jonathan Martinez,5.13,3.47,55.4,44.07,3.47,5.13,55.93,44.6,1.0,0.0,50,0,100,50,0.0,0.0,170.18,172.72,61.23,61.23,177.8,177.8,Orthodox,Southpaw
Submission,Osiris Maia,light heavyweight,f1,Anthony Smith,Vitor Petrino,5.5,5.0,55.0,45.45,5.0,5.5,54.55,45.0,0.0,7.5,0,50,50,100,0.5,0.0,193.04,187.96,92.99,92.99,193.04,195.58,Orthodox,Orthodox
Submission,Fernando Portella,middleweight,f1,Michel Pereira,Ihor Potieria,6.67,2.22,60.0,66.67,2.22,6.67,33.33,40.0,0.0,0.0,0,0,100,100,1.11,0.0,185.42,190.5,83.91,83.91,185.42,190.5,Orthodox,Southpaw
KO/TKO,Marc Goddard,middleweight,f1,Caio Borralho,Paul Craig,5.02,3.07,72.0,45.83,3.07,5.02,54.17,28.0,0.0,0.0,0,0,100,100,0.0,0.0,185.42,190.5,83.91,83.91,190.5,193.04,Southpaw,Orthodox
KO/TKO,Joao Claudio Soares,featherweight,f1,Joanderson Brito,Jack Shore,3.5,2.8,53.57,60.0,2.8,3.5,40.0,46.43,1.75,0.0,100,0,100,0,0.0,0.0,172.72,172.72,65.77,65.77,182.88,180.34,Orthodox,Orthodox
Decision - Unanimous,Osiris Maia,strawweight,f1,Iasmin Lucindo,Karolina Kowalkiewicz,5.53,2.8,61.03,37.84,2.8,5.53,62.16,38.97,2.0,0.0,33,0,100,67,0.0,0.0,160.02,160.02,52.16,52.16,167.64,162.56,Orthodox,Orthodox
Decision - Unanimous,Fernando Portella,lightweight,f1,Myktybek Orolbai,Elves Brener,4.33,3.2,54.62,52.75,3.2,4.33,47.25,45.38,5.0,3.0,29,50,50,71,0.0,0.0,177.8,177.8,70.31,70.31,187.96,182.88,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,lightweight,f1,Drakkar Klose,Joaquim Silva,4.67,3.93,56.91,63.44,3.93,4.67,36.56,43.09,0.0,0.0,0,0,100,100,0.0,0.07,175.26,172.72,70.31,70.31,177.8,175.26,Orthodox,Southpaw
KO/TKO,Osiris Maia,lightweight,f1,Mauricio Ruffy,Jamie Mullarkey,5.32,2.98,62.5,36.84,2.98,5.32,63.16,37.5,0.0,0.0,0,0,100,100,0.0,0.0,180.34,182.88,70.31,70.31,190.5,187.96,Orthodox,Orthodox
Decision - Unanimous,Fernando Portella,flyweight,f1,Dione Barbosa,Ernesta Kareckaite,2.6,3.53,54.93,33.97,3.53,2.6,66.03,45.07,2.0,1.0,18,100,0,82,0.07,0.0,167.64,175.26,56.7,56.7,167.64,180.34,Orthodox,Orthodox
